Sports aériens,Deltaplane,"extrême, fun, individuel, sensation, altitude, spectaculaire",1,parapente.png
Sports aériens,Parachutisme,"extrême, fun, individuel, sensation, vitesse, altitude, spectaculaire",1,skydiving.png
Sports aériens,Base Jump,"extrême, fun, individuel, sensation, vitesse, altitude, spectaculaire",,
Sports aériens,Wingsuit,"extrême, fun, individuel, sensation, vitesse, altitude, spectaculaire",,
Sports aériens,Parapente,"extrême, fun, individuel, sensation, altitude, spectaculaire",1,parapente.png
Sports aériens,ULM,"extrême, fun, individuel, sensation, altitude, spectaculaire",,
Sports aériens,Pilotage d'avion,"fun, individuel, sensation, altitude, cher, spectaculaire",1,skydiving.png
Sports aériens,Pilotage hélicoptère,"fun, individuel, sensation, altitude, cher, spectaculaire",1,
Sports aériens,Montgolfière,"fun, individuel, sensation, altitude, cher, spectaculaire",,
Sports aériens,Saut à l'elastique,"extrême, fun, individuel, sensation, vitesse, altitude",,
Tir à l'arc,Tir à l'arc,"individuel, précision",1,
Tir à l'arc,Kyodo,"individuel, précision, original",1,
Balle & Filet & Raquette,Badminton,,1,badminton.png
Balle & Filet & Raquette,Tennis,,1,tennis.png
Balle & Filet & Raquette,Racquetball,"social, cardio, intense, vitesse",,
Balle & Filet & Raquette,Beach tennis,social,,
Balle & Filet & Raquette,Squash,"social, cardio, intense, vitesse, endurance",1,squash.png
Balle & Filet & Raquette,Pelote basque,original,,
Balle & Filet & Raquette,Tennis de table,"fun, social, familial",1,pingpong.png
Ballon,Tennis-ballon,"fun, équipe, social, original, team-building",,
Ballon,Volleyball,"équipe, familial",1,volleyball.png
Ballon,Beach-Volley,"fun, équipe, social, team-building",,
Ballon,Basketball,"équipe, social, intense, endurance, précision",1,basketball.png
Ballon,Basketball en fauteuil roulant,"équipe, social",,
Ballon,Netball,"équipe, social",,
Ballon,Football,"équipe, social, intense, endurance",1,foot.png
Ballon,Futsal,"équipe, social, intense, cardio",1,foot.png
